word,cefr,frequency,ch
influence,B1,5,
ingredient,B1,8,
injured,B1,1,
innocent,B1,1,
inquiry,B1,2,
instead,B1,,
intelligence,B1,7,
intend,B1,10,
intention,B1,3,
internationally,B1,1,
internship,B1,2,
interviewer,B1,16,
invest,B1,5,
investigate,B1,3,
Ir is unseniable that,B1,,
irregular,B1,2,
It goes without saying that,B1,,
It is not uncommon that,B1,,
It is widely acknowledged that,B1,,
jasmine,B1,1,
jealous,B1,1,
jeweller,B1,1,
jog,B1,1,
journal,B1,1,
judge,B1,8,
jungle,B1,5,
keen,B1,7,
key,B1,9,
kick,B1,2,
killer,B1,1,
kindergarten,B1,1,
kindly,B1,1,
knock,B1,2,
labor,B1,2,
laboratory,B1,3,
lack,B1,6,
lag,B1,1,
lamb,B1,1,
lay,B1,4,
layer,B1,2,
leaf,B1,1,
leather,B1,3,
legal,B1,8,
leisure,B1,5,
length,B1,6,
lie,B1,2,
lighter,B1,2,
lighthouse,B1,5,
lightning,B1,1,
lime,B1,1,
limit,B1,26,
lip,B1,3,
lipstick,B1,3,
liquid,B1,1,
literature,B1,5,
livelier,B1,1,
local,B1,73,
locally,B1,3,
locate,B1,4,
location,B1,19,
log in,B1,1,
lonely,B1,6,
Long gone are the days when,B1,,
longstanding,B1,2,
loser,B1,1,
loss,B1,3,
lotion,B1,1,
lovingly,B1,1,
lowest,B1,2,
luxury,B1,12,
mad,B1,4,
magic,B1,4,
mainly,B1,6,
mall,B1,11,
management,B1,18,
market,B1,27,
marking,B1,1,
marriage,B1,2,
mars,B1,2,
marvelous,B1,1,
meanwhile,B1,1,
measure,B1,9,
meatball,B1,1,
mental,B1,1,
mention,B1,26,
mess,B1,11,
messy,B1,9,
midtown,B1,1,
mine,B1,1,
mix,B1,9,
mixture,B1,1,
mood,B1,3,
moreover,B1,,
mosquito,B1,2,
mover,B1,2,
mud,B1,1,
multitasking,B1,2,
muscle,B1,1,
musical,B1,4,
mystery,B1,8,
nail,B1,1,
narrative,B1,2,
nation,B1,6,
native,B1,8,
naturally,B1,6,
necessarily,B1,3,
needle,B1,1,
neighbor,B1,13,
neighborhood,B1,9,
neighbourhood,B1,1,
nepalese,B1,2,
nevertheless,B1,,
newsstand,B1,2,
nickname,B1,3,
normal,B1,3,
note,B1,51,
nuclear,B1,2,
obvious,B1,3,
obviously,B1,5,
occasion,B1,3,
occur,B1,3,
odd,B1,1,
olive,B1,1,
olympics,B1,1,
On the contrary,B1,,
on the other hand,B1,,
on top of that,B1,,
onboard,B1,2,
operation,B1,9,
organisation,B1,1,
organise,B1,1,
organizer,B1,5,
original,B1,9,
originally,B1,3,
ours,B1,1,
outdoor,B1,9,
outdoors,B1,2,
outwards,B1,1,
pack,B1,10,
pale,B1,1,
participate,B1,5,
particularly,B1,12,
pass,B1,1,
passion,B1,7,
path,B1,9,
pavement,B1,1,
payment,B1,8,
peanut,B1,2,
pearl,B1,1,
pedestrian,B1,1,
percent,B1,16,
percentage,B1,1,
perfectly,B1,4,
performance,B1,19,
performer,B1,2,
personally,B1,5,
persuade,B1,6,
photographer,B1,14,
pianist,B1,1,
picking,B1,1,
pie,B1,1,
planter,B1,2,
pleasant,B1,5,
pleasure,B1,6,
poison,B1,8,
poisonous,B1,1,
policy,B1,13,
politely,B1,1,
political,B1,5,
politician,B1,3,
politics,B1,2,
pop music,B1,13,
pork,B1,1,
possibly,B1,5,
postbag,B1,2,
pot,B1,1,
pour,B1,2,
powerful,B1,2,
practical,B1,11,
prayer,B1,5,
prediction,B1,1,
presentation,B1,18,
press,B1,13,
pressure,B1,9,
pretend,B1,3,
previous,B1,21,
previously,B1,5,
primary,B1,4,
prisoner,B1,3,
private,B1,10,
producer,B1,4,
production,B1,4,
profession,B1,4,
profit,B1,8,
program,B1,8,
promote,B1,24,
proper,B1,1,
properly,B1,5,
property,B1,6,
protest,B1,2,
proud,B1,6,
prove,B1,6,
pull,B1,11,
push,B1,5,
qualification,B1,2,
qualify,B1,2,
quit,B1,11,
quote,B1,4,
race,B1,6,
rainforest,B1,2,
rainy,B1,2,
rare,B1,6,
rarely,B1,1,
rarer,B1,1,
rarest,B1,1,
reaction,B1,7,
realise,B1,6,
reality,B1,9,
recognise,B1,1,
recommendation,B1,13,
recycler,B1,1,
reflect,B1,8,
refreshment,B1,3,
refund,B1,3,
regarding,B1,0,
regularly,B1,5,
reject,B1,7,
relate,B1,4,
relation,B1,7,
relative,B1,5,
release,B1,13,
reliable,B1,1,
religious,B1,2,
remind,B1,17,
remote,B1,3,
rent,B1,3,
reopen,B1,1,
repair,B1,6,
repeat,B1,4,
represent,B1,6,
request,B1,31,
require,B1,22,
rescuer,B1,3,
reservation,B1,1,
reset,B1,1,
reshape,B1,2,
resource,B1,7,
respect,B1,5,
respondent,B1,2,
responsibility,B1,8,
responsible,B1,2,
result,B1,54,
retire,B1,5,
reuse,B1,1,
reviewer,B1,2,
revise,B1,3,
rider,B1,1,
ring,B1,2,
rise,B1,13,
risk,B1,14,
roaster,B1,2,
robot,B1,27,
roll,B1,3,
romantic,B1,1,
rooftop,B1,6,
rule,B1,23,
rulebook,B1,1,
safely,B1,5,
safety,B1,17,
sail,B1,5,
sand,B1,1,
sandals,B1,1,
scan,B1,2,
scanner,B1,1,
scenery,B1,3,
schoolchildren,B1,2,
scientific,B1,8,
screenshot,B1,4,
script,B1,14,
sculpture,B1,1,
seagull,B1,1,
secondary,B1,3,
secretly,B1,1,
security,B1,11,
seed,B1,2,
selfie,B1,1,
selfish,B1,2,
seller,B1,1,
seminal,B1,1,
sensible,B1,1,
separate,B1,6,
seriously,B1,6,
servant,B1,2,
sew,B1,9,
sex,B1,2,
shake,B1,4,
share,B1,30,
shark,B1,2,
sharp,B1,8,
shelf,B1,1,
shelves,B1,1,
shortlist,B1,1,
shy,B1,1,
sidewalk,B1,2,
sight,B1,5,
signal,B1,1,
silent,B1,1,
silly,B1,1,
similarly,B1,5,
simply,B1,15,
sincerely,B1,6,
sink,B1,3,
skype,B1,1,
sleeve,B1,1,
slice,B1,1,
slightly,B1,5,
smart,B1,4,
smarter,B1,1,
smelly,B1,1,
smooth,B1,1,
so far,B1,10,
socially,B1,2,
softly,B1,1,
soil,B1,11,
solid,B1,5,
songbook,B1,1,
sooner,B1,2,
sore,B1,1,
sour,B1,2,
southern,B1,1,
souvenir,B1,2,
spacecraft,B1,2,
spaceship,B1,3,
specially,B1,1,
specifically,B1,2,
spicy,B1,1,
spirit,B1,4,
spring,B1,7,
staff,B1,63,
standard,B1,2,
state,B1,33,
statistic,B1,11,
statue,B1,3,
sticker,B1,1,
storytelling,B1,2,
stranger,B1,9,
strength,B1,1,
stressful,B1,1,
string,B1,3,
strongly,B1,3,
studio,B1,5,
stylish,B1,2,
successfully,B1,3,
sudden,B1,4,
suffer,B1,6,
suit,B1,10,
suitable,B1,12,
summarize,B1,3,
summary,B1,8,
sunrise,B1,1,
sunscreen,B1,2,
sunset,B1,1,
sunshine,B1,1,
superhero,B1,2,
supply,B1,7,
surely,B1,9,
surface,B1,9,
surfer,B1,1,
surprisingly,B1,1,
survive,B1,13,
swim,B1,28,
swimmer,B1,2,
takeout,B1,1,
talent,B1,11,
talented,B1,4,
talker,B1,1,
tasty,B1,1,
tax,B1,2,
technical,B1,4,
technique,B1,12,
tend,B1,14,
tense,B1,1,
tester,B1,1,
texting,B1,1,
thai,B1,1,
theme,B1,18,
theory,B1,5,
There is a growing awareness that,B1,,
therefore,B1,12,
though,B1,37,
thriller,B1,1,
throughout,B1,7,
tiger,B1,3,
tight,B1,1,
till,B1,7,
tiny,B1,5,
tip,B1,6,
tongue,B1,1,
toothpaste,B1,1,
totally,B1,13,
touch,B1,4,
tour,B1,14,
toward,B1,7,
trade,B1,8,
translate,B1,3,
translation,B1,1,
transport,B1,6,
treat,B1,9,
treatment,B1,5,
trend,B1,14,
trick,B1,10,
truth,B1,5,
tube,B1,7,
type,B1,1,
typically,B1,4,
unable,B1,1,
unbelievable,B1,2,
uncomfortable,B1,3,
underline,B1,1,
underneath,B1,3,
underwear,B1,1,
unemployed,B1,2,
unfair,B1,4,
unforgettable,B1,2,
unfriendly,B1,1,
unhealthy,B1,3,
unless,B1,6,
unlike,B1,1,
unlikely,B1,2,
unlucky,B1,8,
unnecessary,B1,1,
unpack,B1,1,
unpleasant,B1,1,
update,B1,19,
upload,B1,4,
upon,B1,10,
upset,B1,8,
urgently,B1,1,
valuable,B1,6,
various,B1,8,
vase,B1,1,
vegetarian,B1,2,
version,B1,4,
vet,B1,6,
victim,B1,2,
view,B1,26,
viewer,B1,5,
violent,B1,3,
vlogger,B1,1,
volunteer,B1,19,
vote,B1,14,
walkway,B1,1,
wand,B1,1,
wardrobe,B1,1,
warn,B1,7,
waste,B1,23,
wasteful,B1,1,
watcher,B1,1,
waterfall,B1,4,
waterway,B1,1,
wave,B1,5,
weaker,B1,4,
weakest,B1,1,
weapon,B1,2,
weigh,B1,4,
western,B1,12,
westerner,B1,1,
whale,B1,2,
whatever,B1,4,
wheelchair,B1,2,
whenever,B1,1,
whether,B1,18,
whole,B1,26,
wing,B1,1,
within,B1,15,
wonder,B1,9,
wool,B1,2,
worldwide,B1,2,
worry,B1,14,
yard,B1,4,
yoga,B1,3,
youth,B1,10,
