word,cefr,frequency,sentence_count
musician,A2,6,2
necessary,A2,3,2
nervous,A2,2,1
none,A2,3,1
normally,A2,1,1
notepad,A2,1,1
nowhere,A2,1,1
number,A2,1,0
officer,A2,1,0
oil,A2,1,1
opportunity,A2,16,2
orion,A2,1,0
painter,A2,1,1
passenger,A2,3,1
pattern,A2,3,1
permission,A2,5,2
personality,A2,4,1
physical,A2,6,2
pillow,A2,1,1
plate,A2,1,1
platform,A2,4,2
playground,A2,3,1
pocket,A2,1,1
population,A2,6,1
possession,A2,1,1
possibility,A2,7,2
predict,A2,4,2
president,A2,2,1
prevent,A2,9,2
profile,A2,1,1
programmed,A2,6,0
promise,A2,6,2
pronounce,A2,1,0
purpose,A2,9,2
purse,A2,1,0
quietest,A2,1,0
quietly,A2,2,1
rabbit,A2,2,1
railroad,A2,1,1
railway,A2,2,2
react,A2,1,1
realize,A2,6,1
reception,A2,1,1
recognize,A2,10,0
refuse,A2,5,2
region,A2,1,1
relationship,A2,14,1
ride,A2,3,2
roast,A2,2,1
roof,A2,9,2
route,A2,2,2
rude,A2,1,1
sadly,A2,3,2
sausage,A2,1,1
scared,A2,1,0
scary,A2,2,0
schoolkids,A2,1,0
season,A2,6,2
secondly,A2,3,2
secret,A2,3,2
secretary,A2,1,1
semester,A2,1,0
series,A2,10,2
shampoo,A2,1,1
shanghai,A2,2,2
shelve,A2,1,1
shopper,A2,2,1
shoulder,A2,2,2
shout,A2,3,0
shut,A2,4,2
simpler,A2,1,1
singular,A2,1,0
ski,A2,4,0
skying,A2,1,0
sleep,A2,7,2
smartphone,A2,2,0
smartphones,A2,1,0
smartwatch,A2,1,0
smoke,A2,5,0
soap,A2,1,1
sofa,A2,1,1
somewhere,A2,7,2
spa,A2,3,1
spaceman,A2,1,1
spaghetti,A2,1,1
specific,A2,7,2
square,A2,2,0
stair,A2,4,2
stamp,A2,1,1
steak,A2,1,0
steal,A2,3,1
stone,A2,8,1
straight,A2,4,2
strangest,A2,1,1
strategy,A2,3,1
stronger,A2,6,1
strongest,A2,2,1
succeed,A2,6,1
sunglasses,A2,1,1
superlative,A2,1,1
surname,A2,2,1
sushi,A2,1,1
symbol,A2,1,1
tablet,A2,5,2
taste,A2,4,1
teammate,A2,1,1
teenage,A2,1,1
teeth,A2,1,1
theater,A2,1,0
tick,A2,1,0
tie,A2,3,2
towel,A2,4,2
tower,A2,1,0
traveller,A2,2,2
twentieth,A2,2,0
twin,A2,1,1
typical,A2,5,2
underground,A2,6,1
unfortunately,A2,3,2
unhappy,A2,1,1
uniform,A2,3,2
user,A2,3,2
usual,A2,6,2
virus,A2,1,1
vocabulary,A2,1,1
volleyball,A2,1,1
walking,A2,1,0
wallet,A2,1,1
war,A2,6,2
web,A2,2,2
wedding,A2,2,0
weekday,A2,2,1
wet,A2,1,0
windy,A2,2,2
wooden,A2,2,1
zero,A2,1,0
