word,cefr,current_sentence_count
pollinator,C1,0
pond,C1,0
pop,C1,0
portfolio,C1,0
portray,C1,0
postpone,C1,0
posture,C1,0
precarious,C1,0
precision,C1,0
predator,C1,0
predecessor,C1,0
predicament,C1,0
prejudice,C1,0
preliminary,C1,0
premier,C1,0
premise,C1,0
premium,C1,0
preoccupation,C1,0
prescribe,C1,0
prescription,C1,0
preservation,C1,0
preservationist,C1,0
prestigious,C1,0
presumably,C1,0
presume,C1,0
preteen,C1,0
prettiness,C1,0
prevail,C1,0
primitive,C1,0
principal,C1,0
privilege,C1,0
problematic,C1,0
productive,C1,0
productivity,C1,0
proficient,C1,0
profound,C1,0
projection,C1,0
proliferation,C1,0
prolong,C1,0
prominent,C1,0
prospective,C1,0
prosperity,C1,0
protective,C1,0
provider,C1,0
province,C1,0
provisional,C1,0
provocative,C1,0
provoke,C1,0
prowess,C1,0
publicize,C1,0
puddle,C1,0
pulse,C1,0
puma,C1,0
pump,C1,0
punctuality,C1,0
punctuate,C1,0
purposefully,C1,0
query,C1,0
quota,C1,0
rack,C1,0
radar,C1,0
radical,C1,0
radically,C1,0
raid,C1,0
ramification,C1,0
ranch,C1,0
rational,C1,0
reactionary,C1,0
readership,C1,0
readily,C1,0
realm,C1,0
reassure,C1,0
rebellious,C1,0
recharge,C1,0
recipient,C1,0
recite,C1,0
recognizable,C1,0
reconstruct,C1,0
reconstruction,C1,0
recount,C1,0
recurrent,C1,0
reddish,C1,0
redeem,C1,0
reflection,C1,0
reform,C1,0
refresh,C1,0
refusal,C1,0
regain,C1,0
regulator,C1,0
regulatory,C1,0
rehabilitation,C1,0
reign,C1,0
related to,C1,0
relic,C1,0
reluctance,C1,0
reluctant,C1,0
reminder,C1,0
removal,C1,0
renew,C1,0
renminbi,C1,0
renovation,C1,0
renowned,C1,0
repeatedly,C1,0
repressive,C1,0
reptile,C1,0
resemble,C1,0
residential,C1,0
resistance,C1,0
respectful,C1,0
respectively,C1,0
restoration,C1,0
resume,C1,0
rethink,C1,0
retrieve,C1,0
revenge,C1,0
reverse,C1,0
revitalization,C1,0
revolutionary,C1,0
riddle,C1,0
rip,C1,0
ripple,C1,0
ritual,C1,0
rock,C1,0
rotate,C1,0
rumour,C1,0
sack,C1,0
sacrifice,C1,0
savage,C1,0
savagely,C1,0
saying,C1,0
scaffold,C1,0
scandalous,C1,0
scarce,C1,0
scatter,C1,0
sceptical,C1,0
scholastically,C1,0
scold,C1,0
scope,C1,0
scrutiny,C1,0
seal,C1,0
secretive,C1,0
seemingly,C1,0
seldom,C1,0
sensation,C1,0
sensitivity,C1,0
sentiment,C1,0
separation,C1,0
shameful,C1,0
shareholder,C1,0
shatter,C1,0
sheer,C1,0
shoot,C1,0
shorten,C1,0
shrine,C1,0
shrink,C1,0
shrug,C1,0
shuttle,C1,0
sigh,C1,0
signage,C1,0
silicon,C1,0
silliness,C1,0
simplify,C1,0
simplistic,C1,0
simulate,C1,0
simultaneously,C1,0
skepticism,C1,0
sketch,C1,0
slap,C1,0
slash,C1,0
slump,C1,0
smash,C1,0
snap,C1,0
soak,C1,0
soar,C1,0
socialist,C1,0
societal,C1,0
solace,C1,0
sole,C1,0
solo,C1,0
somber,C1,0
sonic,C1,0
soothe,C1,0
sophisticate,C1,0
sophistication,C1,0
sound,C1,0
sow,C1,0
span,C1,0
spare,C1,0
spark,C1,0
specimen,C1,0
spectacle,C1,0
spell,C1,0
spin,C1,0
spindly,C1,0
sprout,C1,0
spy,C1,0
squeeze,C1,0
stack,C1,0
stagnate,C1,0
staircase,C1,0
stale,C1,0
standardise,C1,0
standardize,C1,0
starkly,C1,0
startle,C1,0
static,C1,0
steely,C1,0
stereotype,C1,0
sterile,C1,0
stew,C1,0
steward,C1,0
stewardship,C1,0
stifle,C1,0
stimulation,C1,0
sting,C1,0
stinger,C1,0
stir,C1,0
storage,C1,0
strain,C1,0
strategic,C1,0
strew,C1,0
stringy,C1,0
strip,C1,0
strive,C1,0
structural,C1,0
stumble,C1,0
stun,C1,0
stunt,C1,0
submission,C1,0
subscription,C1,0
substantial,C1,0
subtle,C1,0
subtropical,C1,0
successive,C1,0
sue,C1,0
suffocate,C1,0
suitability,C1,0
summarise,C1,0
superior,C1,0
superstitious,C1,0
supervision,C1,0
supplement,C1,0
supportive,C1,0
supposedly,C1,0
surge,C1,0
surgical,C1,0
surreptitiously,C1,0
susceptible,C1,0
suspicion,C1,0
suspicious,C1,0
sustain,C1,0
sustenance,C1,0
swap,C1,0
swarm,C1,0
symbolize,C1,0
syndication,C1,0
synthesize,C1,0
synthetic,C1,0
tally,C1,0
teamwork,C1,0
teaser,C1,0
tedious,C1,0
terminal,C1,0
termination,C1,0
terrain,C1,0
terrestrial,C1,0
terrific,C1,0
testify,C1,0
textile,C1,0
texture,C1,0
thoughtful,C1,0
thoughtfully,C1,0
thread,C1,0
threshold,C1,0
thrill,C1,0
thrive,C1,0
thug,C1,0
tide,C1,0
tighten,C1,0
timber,C1,0
token,C1,0
tolerance,C1,0
tolerate,C1,0
torture,C1,0
toss,C1,0
toxic,C1,0
trace,C1,0
trail,C1,0
trainee,C1,0
tranquil,C1,0
transcribe,C1,0
transcript,C1,0
transformation,C1,0
transit,C1,0
transmission,C1,0
trauma,C1,0
trendy,C1,0
tribal,C1,0
trigger,C1,0
trim,C1,0
trimming,C1,0
trip over,C1,0
triumph,C1,0
triumphantly,C1,0
trump,C1,0
tuition,C1,0
tweezers,C1,0
twist,C1,0
ubiquitous,C1,0
ubiquity,C1,0
unanswered,C1,0
unappreciated,C1,0
unavailable,C1,0
unbeatable,C1,0
unchecked,C1,0
uncontacted,C1,0
uncover,C1,0
undecided,C1,0
underage,C1,0
underclass,C1,0
undercover,C1,0
underfoot,C1,0
undermine,C1,0
undeserving,C1,0
undocumented,C1,0
unearth,C1,0
uneducated,C1,0
unending,C1,0
unfeasible,C1,0
unforeseen,C1,0
unify,C1,0
uninhabitable,C1,0
unintended,C1,0
unintentional,C1,0
unintentionally,C1,0
unpaid,C1,0
unprecedented,C1,0
unpunished,C1,0
unquantifiable,C1,0
unrealistically,C1,0
unspoiled,C1,0
unspoken,C1,0
unstick,C1,0
unveil,C1,0
unwanted,C1,0
upcoming,C1,0
uproot,C1,0
upward,C1,0
urbanization,C1,0
urgency,C1,0
utterly,C1,0
vague,C1,0
validate,C1,0
vanish,C1,0
vessel,C1,0
veteran,C1,0
vibrant,C1,0
vicious,C1,0
viciously,C1,0
victimize,C1,0
villager,C1,0
virtue,C1,0
vocalization,C1,0
vocational,C1,0
vow,C1,0
vulnerable,C1,0
ward,C1,0
warehouse,C1,0
warrior,C1,0
weave,C1,0
whilst,C1,0
wholly,C1,0
wipe,C1,0
wisely,C1,0
wit,C1,0
wordlessly,C1,0
workout,C1,0
worsen,C1,0
worship,C1,0
worshipper,C1,0
worthwhile,C1,0
yachtsman,C1,0
yell,C1,0
yield,C1,0
youngster,C1,0
zoological,C1,0
